ID	Gene Symbol
1857_at	SMAD7
1858_at	FASLG
1859_s_at	MDM2
186_at	PRKAA2
1860_at	TP53BP2
1861_at	BAD
1862_at	ATM
1863_s_at	ATM /// NPAT
1865_at	SKIL
1866_g_at	SKIL
1867_at	CFLAR
1868_g_at	CFLAR
1869_at	TERT
187_at	MAP4K2
1870_at	PTPN11
1871_g_at	PTPN11
1872_at	RAD51
1873_at	XPC
1874_at	RAD23B
1875_f_at	PMS2P3
1876_at	RALA
1877_g_at	RALA
1878_g_at	ERCC1
1879_at	RRAS
188_at	EFNB1
1880_at	MDM2
1881_at	MECOM
1882_g_at	MECOM
1883_s_at	AFF1
1884_s_at	PCNA
1885_at	ERCC3
1886_at	WNT7A
1887_g_at	WNT7A
1888_s_at	KIT
189_s_at	PLAUR
1890_at	GDF15
1891_at	MAP3K8
1892_s_at	NTRK1
1893_s_at	ESR1
1894_f_at	NF2
1895_at	JUN
1896_s_at	ABCC1
1897_at	TGFBR3
1898_at	TRIM29
1899_s_at	RAD52
190_at	NR4A3
1900_at	RB1
1901_s_at	ERBB2
1902_at	ERCC1
1903_at	RAP1B
1904_at	MYCBP
1905_s_at	RB1
1906_at	MAPKAP1
1907_at	RBL1
1908_at	ETV3
1909_at	BCL2
191_at	MUC8
1910_s_at	BCL2
1911_s_at	GADD45A
1912_s_at	APC
1913_at	CCNG2
1914_at	CCNA1
1915_s_at	FOS
1916_s_at	FOS
1917_at	RAF1
1918_at	SKI
1919_at	VAV1
192_at	TAF7
1920_s_at	CCNG1
1921_at	RASGRF1
1922_g_at	RASGRF1
1923_at	CCNC
1924_at	CCNH
1925_at	CCNF
1926_at	VEGFB
1927_s_at	ACVRL1
1928_s_at	SMAD2
1929_at	ANGPT1
193_at	AK6 /// TAF9
1930_at	ABCC3
1931_at	ABCC4
1932_at	ABCC5
1933_g_at	ABCC5
1934_s_at	VEGFC
1935_at	MDM4
1936_s_at	MYC
1937_at	
1938_at	SRC
1939_at	TP53
194_at	CATR1
1940_at	KRAS
1941_at	SKP2
1942_s_at	CDK4
1943_at	CCNA2
1944_f_at	MLH1
1945_at	CCNB1
1946_at	WT1-AS
1947_g_at	WT1-AS
1948_f_at	NOS2
1949_at	
195_s_at	CASP4
1950_s_at	SMAD3
1951_at	ANGPT2
1952_s_at	SMAD5
1953_at	VEGFA
1954_at	KDR
1955_s_at	SMAD6
1956_s_at	
1957_s_at	TGFBR1
1958_at	FIGF /// PIR-FIGF
1959_at	AZIN1
196_s_at	CASP5
1960_at	
1961_f_at	NOS3
1962_at	ARG1
1963_at	FLT1
1964_g_at	FLT1
1965_s_at	NOS1
1966_i_at	NOS2P1 /// NOS2P1
1967_f_at	NOS2P1 /// NOS2P1
1968_g_at	FIP1L1 /// PDGFRA
1969_s_at	CDK7
197_at	NME3
1970_s_at	FGFR2
1971_g_at	FHIT
1972_s_at	MAP2
1973_s_at	MYC
1974_s_at	TP53
1975_s_at	IGF1
1976_s_at	FES
1977_s_at	ETS1
1978_at	ITGA2
1979_s_at	NOP2
198_g_at	NME3
1980_s_at	NME1-NME2 /// NME2
1981_s_at	MAX
1983_at	CCND2
1984_s_at	ARHGDIB
1985_s_at	NME1
1986_at	RBL2
1987_at	PDGFRA
1988_at	PDGFRA
1989_at	BRCA2
199_s_at	PKN2
1990_g_at	BRCA2
1991_s_at	MAPKAPK3
1992_at	FHIT
1993_s_at	BRCA1
1994_at	ATF2
1995_at	XPA
1996_s_at	CCNF
1997_s_at	BAX
1998_i_at	BAX
1999_s_at	MAPK14
200_at	BMP5
2000_at	ATM
2001_g_at	ATM
2002_s_at	BCL2A1
2003_s_at	MSH6
2004_at	MAP3K1
2005_s_at	JAK3
2006_at	JAK3
2007_g_at	JAK3
2008_s_at	MDM2
2009_at	PTK2B
201_s_at	B2M
2010_at	SKP1
2011_s_at	BIK
2012_s_at	PRKDC
2013_at	TFDP2
2014_s_at	MAP2K6
2015_s_at	PMS2 /// PMS2CL
2016_s_at	EEF1A1 /// RPL10 /// SNORA70
2017_s_at	CCND1
2018_at	GJA1
2019_s_at	ITGB7
202_at	HSF2
2020_at	CCND1
2021_s_at	CCNE1
2022_at	AKT2
2023_g_at	AKT2
2024_s_at	LYN
2025_s_at	APEX1
2026_at	LOC100506403 /// LOC101928269 /// RUNX1
2027_at	S100A2
2028_s_at	E2F1
2029_at	ARHGAP5
203_at	GATA2
2030_at	WNT11
2031_s_at	CDKN1A
2032_s_at	ITGAV
2033_s_at	WEE1
2034_s_at	CDKN1B
2035_s_at	ENO1
2036_s_at	CD44
2037_s_at	RPS6KB1
2038_g_at	BCL2
2039_s_at	FYN
